City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
331,Georgetown,MY,82.4,few clouds,5.41,100.34,Cititel Penang
332,Langsa,ID,75.92,overcast clouds,4.47,97.97,OYO 2964 Hotel Ridho
334,Saposoa,PE,82.4,broken clouds,-6.93,-76.77,Hostal Primavera
341,Lompoc,US,90.0,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
349,Tallahassee,US,86.0,scattered clouds,30.44,-84.28,Four Points by Sheraton Tallahassee Downtown
353,Nanakuli,US,80.6,clear sky,21.39,-158.15,Camp Pālehua
355,Upington,ZA,86.0,clear sky,-28.45,21.26,River Place Manor
358,Bara,NG,78.71,broken clouds,10.37,10.73,
359,Buraydah,SA,82.4,clear sky,26.33,43.98,Mövenpick Hotel Qassim
360,Umm Lajj,SA,83.95,clear sky,25.02,37.27,Moon light Furnished Units
365,Caranavi,BO,75.18,moderate rain,-15.82,-67.55,Hotel Landivar
376,Nioro,GM,82.53,scattered clouds,13.35,-15.75,
381,Vaitape,PF,79.56,moderate rain,-16.52,-151.75,Conrad Bora Bora Nui
383,Macae,BR,77.0,few clouds,-22.37,-41.79,Personal Hotel
385,Senanga,ZM,83.32,overcast clouds,-16.12,23.27,Christopher Nasilele House
387,Mitsamiouli,KM,78.89,clear sky,-11.38,43.28,Foyer ADM
391,Morondava,MG,78.98,broken clouds,-20.28,44.28,La Case Bambou
392,Srivardhan,IN,77.2,overcast clouds,18.03,73.02,Savli Resort/Hotel - Shrivardhan
393,Gat,IL,78.01,clear sky,31.61,34.76,OlusHome
394,Doka,SD,80.87,clear sky,13.52,35.77,
395,Tiarei,PF,82.4,shower rain,-17.53,-149.33,Le Rocher de Tahiti
397,Kalianget,ID,82.83,light rain,-7.05,113.93,Pesanggrahan Garam
400,Gigmoto,PH,79.7,overcast clouds,13.78,124.39,Cj's Travellers Inn
401,Ko Samui,TH,81.84,scattered clouds,9.54,99.94,"The Passage Samui Villas & Resort, Thailand"
412,Pacific Grove,US,84.2,clear sky,36.62,-121.92,Lovers Point Inn
417,Poco Verde,BR,88.99,clear sky,-10.71,-38.18,Hotel Santa Cruz
419,Nishihara,JP,77.0,scattered clouds,26.18,127.76,Minshuku Agaihama
420,Isagarh,IN,77.23,clear sky,24.83,77.88,ACC Cement
422,Maragogi,BR,79.36,broken clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
427,Avera,US,80.6,scattered clouds,33.19,-82.53,
428,Cape Coast,GH,77.58,scattered clouds,5.11,-1.25,Samrit Hotel
429,Bairiki,KI,80.6,few clouds,1.33,172.98,Tarawa Boutique Hotel
434,Wapi Pathum,TH,75.9,light rain,15.85,103.38,Nattawat House
435,Oussouye,SN,87.8,scattered clouds,12.48,-16.55,Auberge du Routard
436,Esna,EG,89.6,clear sky,25.29,32.55,Orient Star Dahabyia Isna 05 Nights Each Sunday
440,Yanam,IN,76.68,light rain,16.73,82.22,The Regency Hotel
441,Alugan,PH,76.73,overcast clouds,12.22,125.48,JM Lodge
444,Padang,ID,78.35,moderate rain,-0.95,100.35,Mercure Padang
446,Korhogo,CI,76.98,light rain,9.45,-5.63,Hotel Le Recul
447,Vila Velha,BR,78.01,light rain,-20.33,-40.29,Hotel Vitória Palace
448,Lorengau,PG,80.64,scattered clouds,-2.02,147.27,Lorengau Harbourside Hotel
453,Vanimo,PG,78.1,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
455,Tucuman,AR,78.8,broken clouds,-26.82,-65.22,Dallas Hotel Tucuman
457,Naze,JP,75.2,few clouds,28.37,129.48,奄美ポートタワーホテル
458,Paita,PE,75.2,scattered clouds,-5.09,-81.11,Hotel Náutico de Paita
459,San Policarpo,PH,77.22,overcast clouds,12.18,125.51,Zal-Ann Beach Resort
462,Brookhaven,US,81.0,broken clouds,31.58,-90.44,Americas Best Value Inn Brookhaven
464,Puerto Asis,CO,78.8,broken clouds,0.51,-76.5,Ayawaska Hostal
468,Tamandare,BR,79.61,scattered clouds,-8.76,-35.1,Pousada 100 Passos
470,Tutoia,BR,84.15,clear sky,-2.76,-42.27,Pousada Guará's
472,Santa Cruz,BO,89.6,smoke,-17.8,-63.17,Hotel Cortez
474,Dubai,AE,84.2,clear sky,25.26,55.3,"Radisson Blu Hotel, Dubai Deira Creek"
483,Benin,BJ,79.65,clear sky,9.5,2.25,
487,Guaruja,BR,75.0,light rain,-23.99,-46.26,Charme Hotel Guarujá
497,Sabang,ID,82.62,overcast clouds,5.89,95.32,Hotel Citra
499,Port Augusta,AU,75.0,light rain,-32.5,137.77,Majestic Oasis Apartments
502,Hendersonville,US,75.0,clear sky,36.3,-86.62,Hyatt Place Nashville/Hendersonville
504,Iralaya,HN,84.11,moderate rain,15.0,-83.23,Iglesia morava renovada
505,Kloulklubed,PW,77.0,broken clouds,7.04,134.26,Storyboard Beach Resort
508,Jaisalmer,IN,82.98,clear sky,26.91,70.92,Hotel Fifu
511,Tumpat,MY,75.2,scattered clouds,6.2,102.17,OYO 44005 Senangin Resort & Cafe
512,Muisne,EC,86.0,scattered clouds,0.6,-80.03,Quinta Samay
515,Monterey,US,84.2,clear sky,36.25,-121.25,
519,Abu Dhabi,AE,84.2,clear sky,24.47,54.37,Beach Rotana
522,San Pedro,PH,78.8,few clouds,14.35,121.02,OYO 412 Viewfort Venue
523,Carutapera,BR,85.69,overcast clouds,-1.2,-46.02,Lidera
526,Kuching,MY,77.0,scattered clouds,1.55,110.33,Hilton Kuching
529,Houston,US,89.01,few clouds,29.76,-95.36,"Hotel ICON, Autograph Collection"
533,Cukai,MY,78.8,overcast clouds,4.25,103.42,OYO 90038 Dalyla Inn Chalet
539,Ferkessedougou,CI,77.31,moderate rain,9.6,-5.2,Hotel Chateau
544,Ler,SS,76.8,light rain,8.3,30.14,
547,Marsh Harbour,BS,82.0,moderate rain,26.54,-77.06,Abaco Beach Resort
548,Praia,CV,84.2,few clouds,14.92,-23.51,LT Aparthotel
549,Harper,LR,77.95,light rain,4.38,-7.72,Screensaver
550,Jalu,LY,83.28,clear sky,29.03,21.55,Jalu Hotel
553,Bandarbeyla,SO,80.22,clear sky,9.49,50.81,REER XOOSHLE GROUP
556,Aden,YE,85.78,clear sky,12.78,45.04,Sama Emirate Hotel
561,Moron,AR,75.2,broken clouds,-34.65,-58.62,Hotel Morón
563,Kishi,NG,76.8,moderate rain,9.08,3.85,AMARC GUEST HOUSE
570,Labuan,MY,80.6,thunderstorm,5.28,115.24,Tiara Labuan Hotel
572,Santa Isabel Do Rio Negro,BR,89.29,overcast clouds,-0.41,-65.02,Hotel GSA
573,Roebourne,AU,76.69,clear sky,-20.78,117.13,Harding River Caravan Park
575,Kifri,IQ,76.57,overcast clouds,34.7,44.97,میزان کفری
577,Presidencia Roque Saenz Pena,AR,82.87,overcast clouds,-26.79,-60.44,Hotel Aconcagua
578,Labuhan,ID,80.37,light rain,-6.88,112.21,bador sepret
579,Waddan,LY,82.2,scattered clouds,29.16,16.14,محل الشريف محمد العايب
581,Fuerte,PH,79.88,clear sky,17.54,120.36,Giordion Inn
584,Valdosta,US,86.0,broken clouds,30.83,-83.28,Courtyard by Marriott Valdosta
585,Port Blair,IN,80.47,overcast clouds,11.67,92.75,Fortune Resort Bay Island
592,Rincon,US,87.8,broken clouds,32.3,-81.24,Bent tree subdivision
594,San Felipe,VE,89.85,light rain,10.34,-68.74,Posada Llovizna Rodríguez
598,Wajid,SO,78.06,clear sky,3.81,43.25,Hotel Haji Aden Yare
613,Erzin,TR,75.99,broken clouds,36.96,36.2,Artemis Otel
614,Acapulco,MX,87.8,clear sky,16.86,-99.89,HS Hotsson Smart Acapulco
617,San Lorenzo,PY,78.8,broken clouds,-25.33,-57.53,Ámbar Hotel
619,San Antonio,US,84.2,broken clouds,29.42,-98.49,Marriott Plaza San Antonio
622,Paredon,MX,86.52,broken clouds,16.03,-93.87,Hotel Principal Paredon
623,Iquitos,PE,82.4,scattered clouds,-3.75,-73.25,Cortez Malaga Techy Caroly
630,Porto Murtinho,BR,79.92,light rain,-21.7,-57.88,Hotel Pantanal
636,Galveston,US,87.01,few clouds,29.37,-94.97,Comfort Inn & Suites Texas City
639,Wawa,NG,80.35,light rain,9.9,4.42,
640,Bosaso,SO,84.16,clear sky,11.28,49.18,Red Sea Hotel
645,Tucuma,BR,85.62,light rain,-0.18,-50.05,
648,Saint Marys,US,84.2,clear sky,30.73,-81.55,Spencer House Inn
650,Luanda,AO,77.0,broken clouds,-8.84,13.23,EPIC SANA Luanda
651,Avanigadda,IN,76.87,light rain,16.02,80.92,AP Camping
652,Lotofaga,WS,77.0,broken clouds,-13.98,-171.86,Sataoa Beach Fales
658,Loandjili,CG,78.8,broken clouds,-4.76,11.86,Résidence ARCHANGE
661,Cabedelo,BR,84.2,scattered clouds,-6.98,-34.83,Lua Mansa Pousada
666,Ormara,PK,84.07,clear sky,25.21,64.64,
669,Sola,VU,80.6,broken clouds,-13.88,167.55,Ulkel Guest House
671,Santiago,CL,86.0,clear sky,-33.46,-70.65,Hotel Panamericano
672,Kabalo,CD,75.83,clear sky,-6.05,26.92,
673,Dostpur,IN,80.15,clear sky,26.28,82.47,Siddiqui house
683,Coahuayana,MX,84.2,scattered clouds,18.73,-103.68,Hotel Los Arcos
684,Pangai,TO,77.0,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
686,Bubaque,GW,82.56,few clouds,11.28,-15.83,"Casa Dora, Bubaque"
693,Phan Thiet,VN,76.42,moderate rain,10.93,108.1,Hotel Saigon-PT
705,Epe,NG,76.95,broken clouds,6.58,3.98,MAGVILLE HOTEL
